year,age,sex,n_immigrants
2004,35,F,51
2004,35,M,52
2004,36,F,55
2004,36,M,46
2004,37,F,54
2004,37,M,44
2004,38,F,33
2004,38,M,49
2004,39,F,57
2004,39,M,68
2004,40,F,62
2004,40,M,72
2004,41,F,51
2004,41,M,64
2004,42,F,32
2004,42,M,30
2004,43,F,27
2004,43,M,40
2004,44,F,18
2004,44,M,16
2004,45,F,10
2004,45,M,19
2004,46,F,16
2004,46,M,21
2004,47,F,12
2004,47,M,25
2004,48,F,18
2004,48,M,27
2004,49,F,22
2004,49,M,22
2004,50,F,15
2004,50,M,28
2004,51,F,10
2004,51,M,19
2004,52,F,4
2004,52,M,16
2004,53,F,6
2004,53,M,14
2004,54,F,9
2004,54,M,10
2004,55,F,4
2004,55,M,3
2004,56,F,6
2004,56,M,0
2004,57,F,34
2004,57,M,28
2004,58,F,5
2004,58,M,0
2004,59,F,15
2004,59,M,12
2004,60,F,27
2004,60,M,20
2004,61,F,21
2004,61,M,17
2004,62,F,17
2004,62,M,14
2004,63,F,27
2004,63,M,18
2004,64,F,7
2004,64,M,9
2004,65,F,11
2004,65,M,4
2004,66,F,7
2004,66,M,3
2004,67,F,8
2004,67,M,0
2004,68,F,6
2004,68,M,2
2004,69,F,12
2004,69,M,2
2004,70,F,4
2004,70,M,0
2004,71,F,6
2004,71,M,0
2004,72,F,1
2004,72,M,0
2004,73,F,0
2004,73,M,0
2004,74,F,1
2004,74,M,0
2004,75,F,0
2004,75,M,0
2004,76,F,0
2004,76,M,0
2004,77,F,0
2004,77,M,0
2004,78,F,0
2004,78,M,0
2004,79,F,2
2004,79,M,0
2004,80,F,2
2004,80,M,0
2004,81,F,0
2004,81,M,0
2004,82,F,0
2004,82,M,0
2004,83,F,0
2004,83,M,0
2004,84,F,0
2004,84,M,0
2004,85,F,0
2004,85,M,0
2004,86,F,0
2004,86,M,0
2004,87,F,0
2004,87,M,0
2004,88,F,0
2004,88,M,0
2004,89,F,0
2004,89,M,0
2004,90,F,0
2004,90,M,0
2004,91,F,0
2004,91,M,0
2004,92,F,0
2004,92,M,0
2004,93,F,0
2004,93,M,0
2004,94,F,0
2004,94,M,0
2004,95,F,0
2004,95,M,0
2004,96,F,0
2004,96,M,0
2004,97,F,0
2004,97,M,0
2004,98,F,0
2004,98,M,0
2004,99,F,0
2004,99,M,0
2004,100,F,60
2004,100,M,13
2004,101,F,0
2004,101,M,0
2004,102,F,0
2004,102,M,0
2004,103,F,0
2004,103,M,0
2004,104,F,0
2004,104,M,0
2004,105,F,0
2004,105,M,0
2004,106,F,0
2004,106,M,0
2004,107,F,0
2004,107,M,0
2004,108,F,0
2004,108,M,0
2004,109,F,0
2004,109,M,0
2004,110,F,0
2004,110,M,0
2005,0,F,0
2005,0,M,0
2005,1,F,115
2005,1,M,107
2005,2,F,64
2005,2,M,72
2005,3,F,66
2005,3,M,80
2005,4,F,48
2005,4,M,89
2005,5,F,47
2005,5,M,60
2005,6,F,37
2005,6,M,38
2005,7,F,20
2005,7,M,26
2005,8,F,29
2005,8,M,37
2005,9,F,33
2005,9,M,24
2005,10,F,53
2005,10,M,51
2005,11,F,54
2005,11,M,62
2005,12,F,63
2005,12,M,49
2005,13,F,35
2005,13,M,51
2005,14,F,83
2005,14,M,86
2005,15,F,93
2005,15,M,100
2005,16,F,77
2005,16,M,116
2005,17,F,62
2005,17,M,95
2005,18,F,72
2005,18,M,119
2005,19,F,99
2005,19,M,134
2005,20,F,86
2005,20,M,109
2005,21,F,82
2005,21,M,58
2005,22,F,54
2005,22,M,59
2005,23,F,62
2005,23,M,47
2005,24,F,61
2005,24,M,40
2005,25,F,77
2005,25,M,10
2005,26,F,78
2005,26,M,1
