year,age,sex,cost
2002,65,F,1898944.4511061208
2002,65,M,781488.9215651206
2002,66,F,1797692.8734586549
2002,66,M,956700.1912252636
2002,67,F,1749462.836228502
2002,67,M,916665.4379680131
2002,68,F,1868457.8747258815
2002,68,M,1022509.6836795877
2002,69,F,1737564.5581526924
2002,69,M,1010986.5123358922
2002,70,F,1747094.3982659455
2002,70,M,1021556.3441959873
2002,71,F,1725828.6730904405
2002,71,M,1090096.6633841458
2002,72,F,1831655.7959916417
2002,72,M,857869.3088912279
2002,73,F,1643034.6660291986
2002,73,M,903178.6042529185
2002,74,F,1528042.3024808143
2002,74,M,765598.7933165485
2002,75,F,1712731.3267322294
2002,75,M,621267.7646656991
2002,76,F,1605058.781107956
2002,76,M,679064.6356310484
2002,77,F,1428588.0841195944
2002,77,M,571773.6099347855
2002,78,F,1443751.7116752176
2002,78,M,628824.9010278812
2002,79,F,1598015.3749595773
2002,79,M,785952.4060945627
2002,80,F,1448072.0211677286
2002,80,M,539993.8655360716
2002,81,F,1277483.519561444
2002,81,M,498919.15021687385
2002,82,F,1182941.2747432785
2002,82,M,372371.432528498
2002,83,F,1043092.27755894
2002,83,M,314627.84429003886
2002,84,F,1032951.0604599434
2002,84,M,359846.68320821325
2002,85,F,819727.7583104064
2002,85,M,219517.35376642848
2002,86,F,614176.8118819554
2002,86,M,207595.03414338722
2002,87,F,634787.5111139988
2002,87,M,203896.21536593584
2002,88,F,479389.21322864346
2002,88,M,143341.6922654932
2002,89,F,427170.2331018728
2002,89,M,141640.8558655977
2002,90,F,333592.8056629203
2002,90,M,116184.12750788609
2002,91,F,324629.2151705764
2002,91,M,77750.2387667685
2002,92,F,225639.9556956957
2002,92,M,55200.87858724644
2002,93,F,152918.13696152903
2002,93,M,35796.90995293633
2002,94,F,113341.56040229327
2002,94,M,17525.95515046385
2002,95,F,84671.32157953031
2002,95,M,39642.68670024639
2002,96,F,87548.76977431666
2002,96,M,0.0
2002,97,F,85943.86344014107
2002,97,M,0.0
2002,98,F,8272.53214595139
2002,98,M,0.0
