year,sex,age,fam_history,abx_exposure,n_asthma,n_no_asthma
2001,0,79,0,2,1,255
2001,0,79,0,3,1,75
2001,0,79,1,0,4,294
2001,0,79,1,1,5,251
2001,0,79,1,2,1,92
2001,0,79,1,3,0,21
2001,0,80,0,0,0,695
2001,0,80,0,1,4,637
2001,0,80,0,2,2,260
2001,0,80,0,3,0,57
2001,0,80,1,0,4,278
2001,0,80,1,1,3,196
2001,0,80,1,2,3,98
2001,0,80,1,3,0,48
2001,0,81,0,0,5,682
2001,0,81,0,1,0,524
2001,0,81,0,2,1,239
2001,0,81,0,3,1,69
2001,0,81,1,0,5,242
2001,0,81,1,1,6,215
2001,0,81,1,2,0,78
2001,0,81,1,3,0,16
2001,0,82,0,0,4,553
2001,0,82,0,1,3,494
2001,0,82,0,2,0,204
2001,0,82,0,3,0,40
2001,0,82,1,0,2,224
2001,0,82,1,1,4,177
2001,0,82,1,2,0,80
2001,0,82,1,3,0,22
2001,0,83,0,0,2,518
2001,0,83,0,1,2,448
2001,0,83,0,2,0,169
2001,0,83,0,3,0,48
2001,0,83,1,0,2,159
2001,0,83,1,1,1,141
2001,0,83,1,2,0,63
2001,0,83,1,3,0,19
2001,0,84,0,0,3,429
2001,0,84,0,1,1,398
2001,0,84,0,2,1,155
2001,0,84,0,3,0,43
2001,0,84,1,0,0,170
2001,0,84,1,1,0,153
2001,0,84,1,2,1,67
2001,0,84,1,3,0,18
2001,0,85,0,0,1,448
2001,0,85,0,1,3,370
2001,0,85,0,2,0,150
2001,0,85,0,3,0,31
2001,0,85,1,0,1,164
2001,0,85,1,1,2,132
2001,0,85,1,2,0,44
2001,0,85,1,3,1,11
2001,0,86,0,0,1,391
2001,0,86,0,1,3,331
2001,0,86,0,2,1,145
2001,0,86,0,3,0,24
2001,0,86,1,0,2,161
2001,0,86,1,1,4,128
2001,0,86,1,2,0,47
2001,0,86,1,3,0,17
2001,0,87,0,0,1,348
2001,0,87,0,1,0,279
2001,0,87,0,2,1,118
2001,0,87,0,3,0,38
2001,0,87,1,0,1,119
2001,0,87,1,1,3,113
2001,0,87,1,2,0,46
2001,0,87,1,3,0,10
2001,0,88,0,0,2,291
2001,0,88,0,1,1,240
2001,0,88,0,2,1,108
2001,0,88,0,3,0,39
2001,0,88,1,0,1,124
2001,0,88,1,1,0,75
2001,0,88,1,2,1,45
2001,0,88,1,3,0,9
2001,0,89,0,0,0,264
2001,0,89,0,1,2,212
2001,0,89,0,2,1,97
2001,0,89,0,3,0,24
2001,0,89,1,0,0,92
2001,0,89,1,1,0,73
2001,0,89,1,2,2,24
2001,0,89,1,3,0,15
2001,0,90,0,0,2,190
2001,0,90,0,1,5,174
2001,0,90,0,2,2,61
2001,0,90,0,3,0,19
2001,0,90,1,0,4,78
2001,0,90,1,1,1,67
