year,age,sex,n_alive
2002,87,F,1080
2002,87,M,497
2002,88,F,890
2002,88,M,424
2002,89,F,770
2002,89,M,292
2002,90,F,656
2002,90,M,214
2002,91,F,481
2002,91,M,199
2002,92,F,417
2002,92,M,124
2002,93,F,303
2002,93,M,93
2002,94,F,207
2002,94,M,73
2002,95,F,173
2002,95,M,42
2002,96,F,123
2002,96,M,31
2002,97,F,82
2002,97,M,14
2002,98,F,64
2002,98,M,7
2002,99,F,37
2002,99,M,10
2002,100,F,65
2002,100,M,5
2002,101,F,36
2002,101,M,4
2002,102,F,0
2002,102,M,0
2002,103,F,0
2002,103,M,0
2002,104,F,0
2002,104,M,0
2002,105,F,0
2002,105,M,0
2002,106,F,0
2002,106,M,0
2002,107,F,0
2002,107,M,0
2002,108,F,0
2002,108,M,0
2002,109,F,0
2002,109,M,0
2002,110,F,0
2002,110,M,0
2003,0,F,4923
2003,0,M,5079
2003,1,F,4987
2003,1,M,5127
2003,2,F,4985
2003,2,M,5234
2003,3,F,5268
2003,3,M,5437
2003,4,F,5176
2003,4,M,5595
2003,5,F,5422
2003,5,M,5636
2003,6,F,5512
2003,6,M,5965
2003,7,F,5847
2003,7,M,6210
2003,8,F,6026
2003,8,M,6278
2003,9,F,6042
2003,9,M,6368
2003,10,F,6158
2003,10,M,6527
2003,11,F,6353
2003,11,M,6636
2003,12,F,6497
2003,12,M,6726
2003,13,F,6530
2003,13,M,6816
2003,14,F,6190
2003,14,M,6718
2003,15,F,6166
2003,15,M,6359
2003,16,F,6131
2003,16,M,6571
2003,17,F,6346
2003,17,M,6698
2003,18,F,6370
2003,18,M,6839
2003,19,F,6343
2003,19,M,6952
2003,20,F,6524
2003,20,M,6815
2003,21,F,6465
2003,21,M,6879
2003,22,F,6597
2003,22,M,6800
2003,23,F,6432
2003,23,M,6845
2003,24,F,6370
2003,24,M,6586
2003,25,F,6270
2003,25,M,6454
2003,26,F,6232
2003,26,M,6556
2003,27,F,6379
2003,27,M,6435
2003,28,F,6345
2003,28,M,6520
2003,29,F,6304
2003,29,M,6324
2003,30,F,6278
2003,30,M,6568
2003,31,F,6616
2003,31,M,6512
2003,32,F,6856
2003,32,M,6913
2003,33,F,6902
2003,33,M,6949
2003,34,F,6929
2003,34,M,6848
2003,35,F,6880
2003,35,M,6896
2003,36,F,6925
2003,36,M,7167
2003,37,F,7436
2003,37,M,7535
2003,38,F,8127
2003,38,M,8021
2003,39,F,8380
2003,39,M,8334
2003,40,F,8431
2003,40,M,8501
2003,41,F,8264
2003,41,M,8321
2003,42,F,8352
2003,42,M,8357
2003,43,F,8075
2003,43,M,8444
2003,44,F,7997
2003,44,M,8133
2003,45,F,8027
2003,45,M,7937
2003,46,F,7859
2003,46,M,7845
2003,47,F,7623
2003,47,M,7595
2003,48,F,7611
2003,48,M,7579
2003,49,F,7349
2003,49,M,7276
2003,50,F,7109
2003,50,M,6853
2003,51,F,6756
2003,51,M,6680
2003,52,F,6738
2003,52,M,6473
2003,53,F,6537
2003,53,M,6350
2003,54,F,6495
2003,54,M,6125
2003,55,F,6393
2003,55,M,6239
2003,56,F,6326
2003,56,M,6159
2003,57,F,5489
2003,57,M,5253
2003,58,F,5075
2003,58,M,5010
2003,59,F,4947
2003,59,M,4897
2003,60,F,4804
2003,60,M,4703
2003,61,F,4478
2003,61,M,4342
2003,62,F,4345
2003,62,M,4063
2003,63,F,4066
2003,63,M,3803
2003,64,F,3964
2003,64,M,3661
2003,65,F,3779
2003,65,M,3516
2003,66,F,3639
2003,66,M,3340
2003,67,F,3639
2003,67,M,3312
2003,68,F,3539
2003,68,M,3173
2003,69,F,3372
2003,69,M,3084
2003,70,F,3465
2003,70,M,3006
2003,71,F,3356
2003,71,M,3040
2003,72,F,3351
2003,72,M,2969
2003,73,F,3253
2003,73,M,2802
2003,74,F,3160
2003,74,M,2468
2003,75,F,3065
2003,75,M,2412
2003,76,F,2978
2003,76,M,2173
2003,77,F,2887
2003,77,M,2077
2003,78,F,2711
2003,78,M,1928
2003,79,F,2660
2003,79,M,1709
2003,80,F,2470
2003,80,M,1568
2003,81,F,2331
2003,81,M,1452
2003,82,F,2117
2003,82,M,1259
2003,83,F,1932
2003,83,M,1056
2003,84,F,1594
2003,84,M,816
2003,85,F,1379
2003,85,M,683
2003,86,F,1221
2003,86,M,589
2003,87,F,1132
2003,87,M,491
2003,88,F,957
2003,88,M,422
2003,89,F,785
2003,89,M,356
2003,90,F,656
2003,90,M,253
2003,91,F,544
2003,91,M,179
2003,92,F,384
2003,92,M,149
2003,93,F,340
2003,93,M,99
2003,94,F,229
2003,94,M,66
2003,95,F,172
2003,95,M,48
2003,96,F,124
2003,96,M,28
2003,97,F,85
2003,97,M,21
2003,98,F,61
2003,98,M,9
2003,99,F,47
2003,99,M,5
2003,100,F,88
2003,100,M,16
2003,101,F,49
2003,101,M,4
2003,102,F,21
2003,102,M,2
2003,103,F,0
2003,103,M,0
2003,104,F,0
2003,104,M,0
2003,105,F,0
2003,105,M,0
2003,106,F,0
2003,106,M,0
2003,107,F,0
2003,107,M,0
2003,108,F,0
2003,108,M,0
2003,109,F,0
2003,109,M,0
2003,110,F,0
2003,110,M,0
2004,0,F,5017
2004,0,M,5218
2004,1,F,5039
2004,1,M,5198
2004,2,F,5064
2004,2,M,5196
2004,3,F,5029
2004,3,M,5294
2004,4,F,5313
2004,4,M,5488
2004,5,F,5204
2004,5,M,5633
2004,6,F,5446
2004,6,M,5674
2004,7,F,5529
2004,7,M,5997
2004,8,F,5890
2004,8,M,6240
2004,9,F,6082
2004,9,M,6321
2004,10,F,6096
2004,10,M,6412
2004,11,F,6218
2004,11,M,6580
2004,12,F,6405
2004,12,M,6687
2004,13,F,6541
2004,13,M,6786
2004,14,F,6590
2004,14,M,6907
2004,15,F,6268
2004,15,M,6793
2004,16,F,6229
2004,16,M,6434
2004,17,F,6198
2004,17,M,6633
2004,18,F,6398
2004,18,M,6782
2004,19,F,6489
2004,19,M,6930
2004,20,F,6453
2004,20,M,7038
2004,21,F,6609
2004,21,M,6862
2004,22,F,6535
2004,22,M,6922
2004,23,F,6660
2004,23,M,6848
2004,24,F,6503
2004,24,M,6871
2004,25,F,6441
2004,25,M,6596
2004,26,F,6341
2004,26,M,6456
2004,27,F,6314
2004,27,M,6569
2004,28,F,6453
2004,28,M,6464
2004,29,F,6427
2004,29,M,6567
2004,30,F,6367
2004,30,M,6385
2004,31,F,6339
