year,age,sex,n_antibiotic_exposure
2003,24,F,30
2003,24,M,34
2003,25,F,42
2003,25,M,7
2003,26,F,50
2003,26,M,21
2003,27,F,63
2003,27,M,30
2003,28,F,63
2003,28,M,48
2003,29,F,58
2003,29,M,50
2003,30,F,65
2003,30,M,34
2003,31,F,44
2003,31,M,49
2003,32,F,42
2003,32,M,60
2003,33,F,26
2003,33,M,67
2003,34,F,29
2003,34,M,56
2003,35,F,32
2003,35,M,31
2003,36,F,17
2003,36,M,45
2003,37,F,40
2003,37,M,54
2003,38,F,52
2003,38,M,58
2003,39,F,50
2003,39,M,73
2003,40,F,46
2003,40,M,71
2003,41,F,28
2003,41,M,38
2003,42,F,18
2003,42,M,30
2003,43,F,24
2003,43,M,22
2003,44,F,8
2003,44,M,16
2003,45,F,14
2003,45,M,18
2003,46,F,16
2003,46,M,22
2003,47,F,5
2003,47,M,24
2003,48,F,24
2003,48,M,48
2003,49,F,23
2003,49,M,29
2003,50,F,13
2003,50,M,24
2003,51,F,8
2003,51,M,4
2003,52,F,7
2003,52,M,17
2003,53,F,5
2003,53,M,11
2003,54,F,4
2003,54,M,0
2003,55,F,9
2003,55,M,0
2003,56,F,29
2003,56,M,22
2003,57,F,9
2003,57,M,0
2003,58,F,17
2003,58,M,13
2003,59,F,21
2003,59,M,34
2003,60,F,31
2003,60,M,20
2003,61,F,23
2003,61,M,19
2003,62,F,13
2003,62,M,11
2003,63,F,12
2003,63,M,14
2003,64,F,6
2003,64,M,7
2003,65,F,6
2003,65,M,0
2003,66,F,0
2003,66,M,0
2003,67,F,10
2003,67,M,0
2003,68,F,10
2003,68,M,0
2003,69,F,0
2003,69,M,0
2003,70,F,4
2003,70,M,0
2003,71,F,2
2003,71,M,0
2003,72,F,5
2003,72,M,0
2003,73,F,2
2003,73,M,0
2003,74,F,1
2003,74,M,0
2003,75,F,0
2003,75,M,0
2003,76,F,0
2003,76,M,0
2003,77,F,4
2003,77,M,0
2003,78,F,8
2003,78,M,0
2003,79,F,0
2003,79,M,0
2003,80,F,0
2003,80,M,0
2003,81,F,0
2003,81,M,0
2003,82,F,0
2003,82,M,1
2003,83,F,0
2003,83,M,0
2003,84,F,0
2003,84,M,0
2003,85,F,0
2003,85,M,0
2003,86,F,0
2003,86,M,0
2003,87,F,0
2003,87,M,0
2003,88,F,0
2003,88,M,0
2003,89,F,0
2003,89,M,0
2003,90,F,0
2003,90,M,0
2003,91,F,0
2003,91,M,0
2003,92,F,0
2003,92,M,0
2003,93,F,0
2003,93,M,0
2003,94,F,0
2003,94,M,2
2003,95,F,0
2003,95,M,0
2003,96,F,0
2003,96,M,0
2003,97,F,0
2003,97,M,0
2003,98,F,0
2003,98,M,0
2003,99,F,0
2003,99,M,0
2003,100,F,55
2003,100,M,14
2003,101,F,0
2003,101,M,0
2003,102,F,0
2003,102,M,0
2003,103,F,0
2003,103,M,0
2003,104,F,0
2003,104,M,0
2003,105,F,0
2003,105,M,0
2003,106,F,0
2003,106,M,0
2003,107,F,0
2003,107,M,0
2003,108,F,0
2003,108,M,0
2003,109,F,0
2003,109,M,0
2003,110,F,0
2003,110,M,0
2004,0,F,3320
2004,0,M,4503
2004,1,F,84
