year,age,sex,utility
2002,69,F,3072.7316150711436
2002,69,M,2765.2878231518634
2002,70,F,2980.0400774814684
2002,70,M,2794.2039483656995
2002,71,F,2960.3214974963794
2002,71,M,2722.479296421384
2002,72,F,2898.1083403786674
2002,72,M,2577.093765838483
2002,73,F,2835.507519992988
2002,73,M,2304.55860789643
2002,74,F,2765.613943620249
2002,74,M,2249.4923778291536
2002,75,F,2689.613891668064
2002,75,M,2031.9888359134977
2002,76,F,2622.7308972264545
2002,76,M,1956.4545333096412
2002,77,F,2490.05036244779
2002,77,M,1838.273994361303
2002,78,F,2457.9035230784234
2002,78,M,1642.8421473456515
2002,79,F,2299.3734770564342
2002,79,M,1522.0982356048114
2002,80,F,2189.592640911436
2002,80,M,1426.5298172936546
2002,81,F,2032.519512782683
2002,81,M,1253.4993454626147
2002,82,F,1835.0815396356047
2002,82,M,1105.7452597563274
2002,83,F,1567.0610495045412
2002,83,M,840.3109409818494
2002,84,F,1389.87141821994
2002,84,M,742.737398705302
2002,85,F,1233.3306608119692
2002,85,M,659.2927324426247
2002,86,F,1174.8155170360837
2002,86,M,566.3069703787554
2002,87,F,1034.5226320062266
2002,87,M,493.7580261467523
2002,88,F,885.113873069632
2002,88,M,430.8608328923518
2002,89,F,769.1860065740872
2002,89,M,303.50983969660894
2002,90,F,653.6526858323293
2002,90,M,232.45359925746348
2002,91,F,510.30205049143046
2002,91,M,202.82985574535127
2002,92,F,420.1542665632636
2002,92,M,131.95633182812324
2002,93,F,323.44574170272074
2002,93,M,99.74840578353205
2002,94,F,240.43215070236283
2002,94,M,83.73683380756297
2002,95,F,182.7572262915371
2002,95,M,51.91766741664593
2002,96,F,143.7894169757386
2002,96,M,33.42299999999998
2002,97,F,94.69828987324068
2002,97,M,21.42499999999999
2002,98,F,75.07975141616359
2002,98,M,9.427
2002,99,F,46.517502110580025
2002,99,M,9.427
2002,100,F,79.01464678781498
2002,100,M,9.427
2002,101,F,54.34657251981629
2002,101,M,5.079628931395021
2002,102,F,0.0
2002,102,M,0.0
2002,103,F,0.0
2002,103,M,0.0
2002,104,F,0.0
2002,104,M,0.0
2002,105,F,0.0
2002,105,M,0.0
2002,106,F,0.0
2002,106,M,0.0
2002,107,F,0.0
2002,107,M,0.0
2002,108,F,0.0
2002,108,M,0.0
2002,109,F,0.0
