year,age,sex,n_deaths
2005,28,M,10
2005,29,F,2
2005,29,M,4
2005,30,F,0
2005,30,M,4
2005,31,F,4
2005,31,M,5
2005,32,F,5
2005,32,M,5
2005,33,F,2
2005,33,M,9
2005,34,F,6
2005,34,M,8
2005,35,F,8
2005,35,M,10
2005,36,F,3
2005,36,M,11
2005,37,F,7
2005,37,M,6
2005,38,F,4
2005,38,M,13
2005,39,F,8
2005,39,M,9
2005,40,F,6
2005,40,M,14
2005,41,F,13
2005,41,M,17
2005,42,F,7
2005,42,M,11
2005,43,F,10
2005,43,M,22
2005,44,F,14
2005,44,M,18
2005,45,F,9
2005,45,M,17
2005,46,F,14
2005,46,M,18
2005,47,F,16
2005,47,M,9
2005,48,F,16
2005,48,M,32
2005,49,F,22
2005,49,M,20
2005,50,F,17
2005,50,M,26
2005,51,F,11
2005,51,M,30
2005,52,F,24
2005,52,M,26
2005,53,F,17
2005,53,M,41
2005,54,F,17
2005,54,M,25
2005,55,F,18
2005,55,M,29
2005,56,F,19
2005,56,M,39
2005,57,F,28
2005,57,M,38
2005,58,F,31
2005,58,M,55
2005,59,F,29
2005,59,M,31
2005,60,F,26
2005,60,M,40
2005,61,F,34
2005,61,M,46
2005,62,F,26
2005,62,M,42
2005,63,F,30
2005,63,M,56
2005,64,F,36
2005,64,M,57
2005,65,F,40
2005,65,M,48
2005,66,F,29
2005,66,M,46
2005,67,F,29
2005,67,M,70
2005,68,F,56
2005,68,M,61
2005,69,F,43
2005,69,M,68
2005,70,F,55
2005,70,M,81
2005,71,F,46
2005,71,M,70
2005,72,F,67
2005,72,M,86
2005,73,F,56
2005,73,M,101
2005,74,F,69
2005,74,M,109
2005,75,F,84
2005,75,M,97
2005,76,F,98
2005,76,M,91
2005,77,F,72
2005,77,M,103
2005,78,F,78
2005,78,M,101
2005,79,F,95
2005,79,M,122
2005,80,F,107
2005,80,M,125
2005,81,F,106
2005,81,M,130
2005,82,F,119
2005,82,M,120
2005,83,F,138
2005,83,M,103
2005,84,F,124
2005,84,M,112
2005,85,F,124
2005,85,M,86
2005,86,F,136
2005,86,M,90
2005,87,F,107
2005,87,M,52
2005,88,F,110
2005,88,M,79
2005,89,F,101
2005,89,M,46
2005,90,F,113
2005,90,M,57
