year,age,sex,province,prob
2000,96,M,BC,0.9291138091893392
2000,97,F,BC,0.9543194631887052
2000,97,M,BC,0.9291138091893392
2000,98,F,BC,0.9543194631887052
2000,98,M,BC,0.9291138091893392
2000,99,F,BC,0.9543194631887052
2000,99,M,BC,0.9291138091893392
2000,100,F,BC,0.9543194631887052
2000,100,M,BC,0.9291138091893392
2000,101,F,BC,0.9543194631887052
2000,101,M,BC,0.9291138091893392
2000,102,F,BC,0.9543194631887052
2000,102,M,BC,0.9291138091893392
2000,103,F,BC,0.9543194631887052
2000,103,M,BC,0.9291138091893392
2000,104,F,BC,0.9543194631887052
2000,104,M,BC,0.9291138091893392
2000,105,F,BC,0.9543194631887052
2000,105,M,BC,0.9291138091893392
2000,106,F,BC,0.9543194631887052
2000,106,M,BC,0.9291138091893392
2000,107,F,BC,0.9543194631887052
2000,107,M,BC,0.9291138091893392
2000,108,F,BC,0.9543194631887052
2000,108,M,BC,0.9291138091893392
2000,109,F,BC,0.9543194631887052
2000,109,M,BC,0.9291138091893392
2000,110,F,BC,0.9543194631887052
2000,110,M,BC,0.9291138091893392
2001,4,F,BC,0.6394657812907752
2001,4,M,BC,0.7106727401399218
2001,5,F,BC,0.8127065688950332
2001,5,M,BC,0.8791540010129665
2001,6,F,BC,0.9008720713022949
2001,6,M,BC,0.9473571042478074
2001,7,F,BC,0.9467385458243232
2001,7,M,BC,0.9733058608444488
2001,8,F,BC,0.9705340220320255
2001,8,M,BC,0.9810709165397328
2001,9,F,BC,0.9823754933852455
2001,9,M,BC,0.9812137617228204
2001,10,F,BC,0.9875729128574716
2001,10,M,BC,0.978550257981808
2001,11,F,BC,0.9890275794788246
2001,11,M,BC,0.9753077173929656
2001,12,F,BC,0.988375966603356
2001,12,M,BC,0.9724891817529684
2001,13,F,BC,0.9865624288436072
2001,13,M,BC,0.970495549318632
2001,14,F,BC,0.98413911668942
2001,14,M,BC,0.9694231702415884
2001,15,F,BC,0.98142978209043
2001,15,M,BC,0.9692125582096024
2001,16,F,BC,0.9786229089988964
2001,16,M,BC,0.9697259520368736
2001,17,F,BC,0.9758267471508394
2001,17,M,BC,0.9707897207609308
2001,18,F,BC,0.9731030277648628
2001,18,M,BC,0.9722189297014712
2001,19,F,BC,0.970488242071869
2001,19,M,BC,0.9738326329952344
2001,20,F,BC,0.9680072775719182
2001,20,M,BC,0.9754641648979714
2001,21,F,BC,0.9656820366947416
2001,21,M,BC,0.9769684995459212
2001,22,F,BC,0.9635364985211666
2001,22,M,BC,0.9782275769525628
2001,23,F,BC,0.9615990738106184
2001,23,M,BC,0.9791538668472024
2001,24,F,BC,0.9599028102581928
2001,24,M,BC,0.9796921360886768
2001,25,F,BC,0.9584838952449088
2001,25,M,BC,0.9798192904522874
2001,26,F,BC,0.957378893549262
2001,26,M,BC,0.97954221560067
2001,27,F,BC,0.9566211890789538
2001,27,M,BC,0.9788936969414924
2001,28,F,BC,0.9562371299419676
2001,28,M,BC,0.9779267053903838
2001,29,F,BC,0.9562423757522854
2001,29,M,BC,0.9767075445340102
2001,30,F,BC,0.9566388992269856
2001,30,M,BC,0.9753085152901252
2001,31,F,BC,0.9574129988784298
2001,31,M,BC,0.9738008285538272
2001,32,F,BC,0.9585345461263324
2001,32,M,BC,0.9722484648416588
2001,33,F,BC,0.9599575372839684
2001,33,M,BC,0.9707035458069988
2001,34,F,BC,0.96162187114492
2001,34,M,BC,0.9692035704468338
2001,35,F,BC,0.9634561473418316
2001,35,M,BC,0.9677706185010928
2001,36,F,BC,0.965381194556684
2001,36,M,BC,0.9664123795920544
2001,37,F,BC,0.967313998192873
2001,37,M,BC,0.9651246684171348
2001,38,F,BC,0.9691717030463718
2001,38,M,BC,0.963894960065728
2001,39,F,BC,0.9708754097993498
2001,39,M,BC,0.9627064348498462
2001,40,F,BC,0.9723535526514386
2001,40,M,BC,0.961542052612237
2001,41,F,BC,0.9735447258006285
2001,41,M,BC,0.9603882643555236
2001,42,F,BC,0.9743999068685482
2001,42,M,BC,0.9592380905294896
2001,43,F,BC,0.9748840968434932
2001,43,M,BC,0.9580934267467152
2001,44,F,BC,0.974977453478614
2001,44,M,BC,0.9569665597330538
2001,45,F,BC,0.9746760365854064
2001,45,M,BC,0.9558809762385334
2001,46,F,BC,0.973992310213798
2001,46,M,BC,0.9548716196392496
2001,47,F,BC,0.9729555607758416
2001,47,M,BC,0.9539847930132744
2001,48,F,BC,0.971612394625762
2001,48,M,BC,0.9532779273220788
2001,49,F,BC,0.9700274756901724
2001,49,M,BC,0.9528194343100366
2001,50,F,BC,0.9682846541547504
2001,50,M,BC,0.952688850754556
2001,51,F,BC,0.9664886194039856
2001,51,M,BC,0.952977456573424
2001,52,F,BC,0.9647671799969928
2001,52,M,BC,0.9537895134797156
2001,53,F,BC,0.963274222900612
2001,53,M,BC,0.9552442185698812
2001,54,F,BC,0.9621933229052216
2001,54,M,BC,0.957478388920492
2001,55,F,BC,0.961741848526544
2001,55,M,BC,0.9606497749750642
2001,56,F,BC,0.962175230846106
2001,56,M,BC,0.9649407253915208
2001,57,F,BC,0.9637908208246128
2001,57,M,BC,0.970561678471786
2001,58,F,BC,0.966930467935314
2001,58,M,BC,0.9777536288879654
2001,59,F,BC,0.9719806461381448
2001,59,M,BC,0.986788329325302
2001,60,F,BC,0.9793687140708028
2001,60,M,BC,0.9979645927695988
2001,61,F,BC,0.9895538642710404
2001,61,M,BC,1.0
2001,62,F,BC,1.0
2001,62,M,BC,1.0
2001,63,F,BC,0.9590141018047372
2001,63,M,BC,0.9331579657354756
2001,64,F,BC,0.9590141018047372
2001,64,M,BC,0.9331579657354756
2001,65,F,BC,0.9590141018047372
2001,65,M,BC,0.9331579657354756
2001,66,F,BC,0.9590141018047372
2001,66,M,BC,0.9331579657354756
2001,67,F,BC,0.9590141018047372
2001,67,M,BC,0.9331579657354756
2001,68,F,BC,0.9590141018047372
2001,68,M,BC,0.9331579657354756
2001,69,F,BC,0.9590141018047372
2001,69,M,BC,0.9331579657354756
2001,70,F,BC,0.9590141018047372
2001,70,M,BC,0.9331579657354756
2001,71,F,BC,0.9590141018047372
2001,71,M,BC,0.9331579657354756
2001,72,F,BC,0.9590141018047372
2001,72,M,BC,0.9331579657354756
2001,73,F,BC,0.9590141018047372
2001,73,M,BC,0.9331579657354756
2001,74,F,BC,0.9590141018047372
2001,74,M,BC,0.9331579657354756
2001,75,F,BC,0.9590141018047372
2001,75,M,BC,0.9331579657354756
2001,76,F,BC,0.9590141018047372
2001,76,M,BC,0.9331579657354756
2001,77,F,BC,0.9590141018047372
2001,77,M,BC,0.9331579657354756
2001,78,F,BC,0.9590141018047372
2001,78,M,BC,0.9331579657354756
2001,79,F,BC,0.9590141018047372
2001,79,M,BC,0.9331579657354756
2001,80,F,BC,0.9590141018047372
2001,80,M,BC,0.9331579657354756
2001,81,F,BC,0.9590141018047372
2001,81,M,BC,0.9331579657354756
2001,82,F,BC,0.9590141018047372
2001,82,M,BC,0.9331579657354756
2001,83,F,BC,0.9590141018047372
2001,83,M,BC,0.9331579657354756
2001,84,F,BC,0.9590141018047372
2001,84,M,BC,0.9331579657354756
2001,85,F,BC,0.9590141018047372
2001,85,M,BC,0.9331579657354756
2001,86,F,BC,0.9590141018047372
2001,86,M,BC,0.9331579657354756
2001,87,F,BC,0.9590141018047372
2001,87,M,BC,0.9331579657354756
2001,88,F,BC,0.9590141018047372
2001,88,M,BC,0.9331579657354756
2001,89,F,BC,0.9590141018047372
2001,89,M,BC,0.9331579657354756
2001,90,F,BC,0.9590141018047372
2001,90,M,BC,0.9331579657354756
2001,91,F,BC,0.9590141018047372
2001,91,M,BC,0.9331579657354756
2001,92,F,BC,0.9590141018047372
2001,92,M,BC,0.9331579657354756
2001,93,F,BC,0.9590141018047372
2001,93,M,BC,0.9331579657354756
2001,94,F,BC,0.9590141018047372
2001,94,M,BC,0.9331579657354756
2001,95,F,BC,0.9590141018047372
2001,95,M,BC,0.9331579657354756
2001,96,F,BC,0.9590141018047372
2001,96,M,BC,0.9331579657354756
2001,97,F,BC,0.9590141018047372
2001,97,M,BC,0.9331579657354756
2001,98,F,BC,0.9590141018047372
2001,98,M,BC,0.9331579657354756
2001,99,F,BC,0.9590141018047372
2001,99,M,BC,0.9331579657354756
2001,100,F,BC,0.9590141018047372
2001,100,M,BC,0.9331579657354756
2001,101,F,BC,0.9590141018047372
2001,101,M,BC,0.9331579657354756
2001,102,F,BC,0.9590141018047372
2001,102,M,BC,0.9331579657354756
2001,103,F,BC,0.9590141018047372
2001,103,M,BC,0.9331579657354756
2001,104,F,BC,0.9590141018047372
2001,104,M,BC,0.9331579657354756
2001,105,F,BC,0.9590141018047372
2001,105,M,BC,0.9331579657354756
2001,106,F,BC,0.9590141018047372
2001,106,M,BC,0.9331579657354756
2001,107,F,BC,0.9590141018047372
2001,107,M,BC,0.9331579657354756
2001,108,F,BC,0.9590141018047372
2001,108,M,BC,0.9331579657354756
2001,109,F,BC,0.9590141018047372
2001,109,M,BC,0.9331579657354756
2001,110,F,BC,0.9590141018047372
2001,110,M,BC,0.9331579657354756
2002,4,F,BC,0.6526098051015594
2002,4,M,BC,0.7193871649106083
2002,5,F,BC,0.8281011328624392
2002,5,M,BC,0.8903384828106065
2002,6,F,BC,0.9149905546771896
2002,6,M,BC,0.9582576768623806
2002,7,F,BC,0.9586234296887708
2002,7,M,BC,0.9830981055672426
2002,8,F,BC,0.9801247963343432
2002,8,M,BC,0.989574484575498
2002,9,F,BC,0.9899109356501056
2002,9,M,BC,0.9884629255789136
2002,10,F,BC,0.9933722844803384
2002,10,M,BC,0.984646152595255
2002,11,F,BC,0.99341108438001
2002,11,M,BC,0.9803676956126728
2002,12,F,BC,0.9916377801659892
2002,12,M,BC,0.9766306623665372
2002,13,F,BC,0.9889636729903166
2002,13,M,BC,0.9738321417303012
2002,14,F,BC,0.9859081432166964
2002,14,M,BC,0.9720649123044768
2002,15,F,BC,0.9827647967624634
2002,15,M,BC,0.9712671866269942
2002,16,F,BC,0.9796950026164108
2002,16,M,BC,0.9713000201910026
2002,17,F,BC,0.9767826272057564
2002,17,M,BC,0.9719891056751842
2002,18,F,BC,0.9740672487339834
2002,18,M,BC,0.9731485640034644
2002,19,F,BC,0.9715649414960154
2002,19,M,BC,0.9745954371211046
2002,20,F,BC,0.9692815111096847
2002,20,M,BC,0.9761592457145716
2002,21,F,BC,0.9672208381058828
2002,21,M,BC,0.977688761977807
2002,22,F,BC,0.9653897977738284
2002,22,M,BC,0.979056973014923
2002,23,F,BC,0.9638005988403784
2002,23,M,BC,0.9801645751427316
2002,24,F,BC,0.9624710794810148
2002,24,M,BC,0.9809420110304768
2002,25,F,BC,0.9614233810868642
2002,25,M,BC,0.98134992977009
2002,26,F,BC,0.960681404508264
2002,26,M,BC,0.9813779564274632
2002,27,F,BC,0.9602674824219846
2002,27,M,BC,0.981041762291846
2002,28,F,BC,0.9601987328664788
2002,28,M,BC,0.9803785918700428
2002,29,F,BC,0.9604835634921792
2002,29,M,BC,0.9794415866299412
2002,30,F,BC,0.9611187572669342
2002,30,M,BC,0.9782934066897144
2002,31,F,BC,0.9620874850293069
2002,31,M,BC,0.9769997535183704
2002,32,F,BC,0.9633584670778172
2002,32,M,BC,0.9756234151640248
2002,33,F,BC,0.9648863623033496
2002,33,M,BC,0.974219384070162
2002,34,F,BC,0.966613320628252
2002,34,M,BC,0.9728314484465496
2002,35,F,BC,0.9684715131211268
2002,35,M,BC,0.9714904590465068
2002,36,F,BC,0.970386369319506
2002,36,M,BC,0.9702142600292284
2002,37,F,BC,0.972280210543624
2002,37,M,BC,0.969009081175284
2002,38,F,BC,0.9740759707609472
2002,38,M,BC,0.9678720471557768
2002,39,F,BC,0.975700735604496
2002,39,M,BC,0.9667943833539616
2002,40,F,BC,0.9770888940424908
2002,40,M,BC,0.9657648886536098
2002,41,F,BC,0.9781847732329214
2002,41,M,BC,0.964773293691203
2002,42,F,BC,0.9789447037511512
2002,42,M,BC,0.9638132108844384
2002,43,F,BC,0.9793385309623176
2002,43,M,BC,0.9628844900599643
2002,44,F,BC,0.9793506436523012
2002,44,M,BC,0.9619949023318284
2002,45,F,BC,0.9789806313146738
2002,45,M,BC,0.9611611711460446
2002,46,F,BC,0.9782437075008528
2002,46,M,BC,0.9604094448850208
