province,projection_scenario,timepoint,N,prop_male
CA,M5,2060-05-01T00:00:00,41637.54772063777,0.5120696478037198
CA,M5,2060-06-01T00:00:00,41662.60947675724,0.5120696478037198
CA,M5,2060-07-01T00:00:00,41686.86278913092,0.5120696478037198
CA,M5,2060-08-01T00:00:00,41711.92454525039,0.5120696478037198
CA,M5,2060-09-01T00:00:00,41736.98630136986,0.5120696478037198
CA,M5,2060-10-01T00:00:00,41761.23961374354,0.5120696478037198
CA,M5,2060-11-01T00:00:00,41786.30136986301,0.5120696478037198
CA,M5,2060-12-01T00:00:00,41810.554682236696,0.5120696478037198
CA,M5,2061-01-01T00:00:00,41835.61643835616,0.5119842829076621
CA,M5,2061-02-01T00:00:00,41862.142991180335,0.5119842829076621
CA,M5,2061-03-01T00:00:00,41886.102458247326,0.5119842829076621
CA,M5,2061-04-01T00:00:00,41912.6290110715,0.5119842829076621
CA,M5,2061-05-01T00:00:00,41938.29986864327,0.5119842829076621
CA,M5,2061-06-01T00:00:00,41964.82642146744,0.5119842829076621
CA,M5,2061-07-01T00:00:00,41990.49727903922,0.5119842829076621
CA,M5,2061-08-01T00:00:00,42017.023831863386,0.5119842829076621
CA,M5,2061-09-01T00:00:00,42043.55038468756,0.5119842829076621
CA,M5,2061-10-01T00:00:00,42069.22124225934,0.5119842829076621
CA,M5,2061-11-01T00:00:00,42095.74779508351,0.5119842829076621
CA,M5,2061-12-01T00:00:00,42121.41865265528,0.5119842829076621
CA,M5,2062-01-01T00:00:00,42147.94520547945,0.5120904836193447
CA,M5,2062-02-01T00:00:00,42175.86789266279,0.5120904836193447
CA,M5,2062-03-01T00:00:00,42201.08838431226,0.5120904836193447
CA,M5,2062-04-01T00:00:00,42229.01107149559,0.5120904836193447
CA,M5,2062-05-01T00:00:00,42256.0330268343,0.5120904836193447
CA,M5,2062-06-01T00:00:00,42283.95571401764,0.5120904836193447
CA,M5,2062-07-01T00:00:00,42310.977669356354,0.5120904836193447
CA,M5,2062-08-01T00:00:00,42338.900356539685,0.5120904836193447
CA,M5,2062-09-01T00:00:00,42366.82304372302,0.5120904836193447
CA,M5,2062-10-01T00:00:00,42393.84499906174,0.5120904836193447
CA,M5,2062-11-01T00:00:00,42421.76768624507,0.5120904836193447
CA,M5,2062-12-01T00:00:00,42448.78964158378,0.5120904836193447
CA,M5,2063-01-01T00:00:00,42476.71232876712,0.5119969040247678
CA,M5,2063-02-01T00:00:00,42506.03115030962,0.5119969040247678
CA,M5,2063-03-01T00:00:00,42532.51266654156,0.5119969040247678
CA,M5,2063-04-01T00:00:00,42561.83148808407,0.5119969040247678
CA,M5,2063-05-01T00:00:00,42590.20454118971,0.5119969040247678
CA,M5,2063-06-01T00:00:00,42619.523362732216,0.5119969040247678
CA,M5,2063-07-01T00:00:00,42647.896415837866,0.5119969040247678
CA,M5,2063-08-01T00:00:00,42677.21523738037,0.5119969040247678
CA,M5,2063-09-01T00:00:00,42706.53405892287,0.5119969040247678
CA,M5,2063-10-01T00:00:00,42734.90711202852,0.5119969040247678
CA,M5,2063-11-01T00:00:00,42764.225933571026,0.5119969040247678
CA,M5,2063-12-01T00:00:00,42792.598986676676,0.5119969040247678
CA,M5,2064-01-01T00:00:00,42821.91780821918,0.5120921305182342
CA,M5,2064-02-01T00:00:00,42852.54884347631,0.5120921305182342
CA,M5,2064-03-01T00:00:00,42881.203682910396,0.5120921305182342
CA,M5,2064-04-01T00:00:00,42911.83471816753,0.5120921305182342
CA,M5,2064-05-01T00:00:00,42941.47765551314,0.5120921305182342
CA,M5,2064-06-01T00:00:00,42972.10869077027,0.5120921305182342
CA,M5,2064-07-01T00:00:00,43001.751628115875,0.5120921305182342
CA,M5,2064-08-01T00:00:00,43032.382663373006,0.5120921305182342
CA,M5,2064-09-01T00:00:00,43063.01369863014,0.5120921305182342
CA,M5,2064-10-01T00:00:00,43092.65663597575,0.5120921305182342
CA,M5,2064-11-01T00:00:00,43123.28767123287,0.5120921305182342
CA,M5,2064-12-01T00:00:00,43152.930608578485,0.5120921305182342
CA,M5,2065-01-01T00:00:00,43183.561643835616,0.5121811952797868
CA,M5,2065-02-01T00:00:00,43215.67273409645,0.5121811952797868
CA,M5,2065-03-01T00:00:00,43244.67629949334,0.5121811952797868
CA,M5,2065-04-01T00:00:00,43276.78738975417,0.5121811952797868
CA,M5,2065-05-01T00:00:00,43307.86263839369,0.5121811952797868
CA,M5,2065-06-01T00:00:00,43339.97372865453,0.5121811952797868
CA,M5,2065-07-01T00:00:00,43371.04897729405,0.5121811952797868
CA,M5,2065-08-01T00:00:00,43403.16006755488,0.5121811952797868
CA,M5,2065-09-01T00:00:00,43435.271157815725,0.5121811952797868
CA,M5,2065-10-01T00:00:00,43466.346406455246,0.5121811952797868
CA,M5,2065-11-01T00:00:00,43498.45749671608,0.5121811952797868
CA,M5,2065-12-01T00:00:00,43529.5327453556,0.5121811952797868
CA,M5,2066-01-01T00:00:00,43561.643835616436,0.5120754716981132
CA,M5,2066-02-01T00:00:00,43594.45299305685,0.5120754716981132
CA,M5,2066-03-01T00:00:00,43624.08707074498,0.5120754716981132
CA,M5,2066-04-01T00:00:00,43656.8962281854,0.5120754716981132
CA,M5,2066-05-01T00:00:00,43688.647025708386,0.5120754716981132
CA,M5,2066-06-01T00:00:00,43721.45618314881,0.5120754716981132
CA,M5,2066-07-01T00:00:00,43753.20698067179,0.5120754716981132
CA,M5,2066-08-01T00:00:00,43786.016138112216,0.5120754716981132
CA,M5,2066-09-01T00:00:00,43818.82529555263,0.5120754716981132
CA,M5,2066-10-01T00:00:00,43850.57609307562,0.5120754716981132
CA,M5,2066-11-01T00:00:00,43883.38525051605,0.5120754716981132
CA,M5,2066-12-01T00:00:00,43915.136048039036,0.5120754716981132
CA,M5,2067-01-01T00:00:00,43947.94520547945,0.5120628389751263
CA,M5,2067-02-01T00:00:00,43981.45243009946,0.5120628389751263
CA,M5,2067-03-01T00:00:00,44011.71702007882,0.5120628389751263
CA,M5,2067-04-01T00:00:00,44045.22424469882,0.5120628389751263
CA,M5,2067-05-01T00:00:00,44077.65059110527,0.5120628389751263
CA,M5,2067-06-01T00:00:00,44111.15781572528,0.5120628389751263
CA,M5,2067-07-01T00:00:00,44143.58416213173,0.5120628389751263
CA,M5,2067-08-01T00:00:00,44177.09138675174,0.5120628389751263
CA,M5,2067-09-01T00:00:00,44210.59861137174,0.5120628389751263
CA,M5,2067-10-01T00:00:00,44243.024957778194,0.5120628389751263
CA,M5,2067-11-01T00:00:00,44276.5321823982,0.5120628389751263
CA,M5,2067-12-01T00:00:00,44308.95852880465,0.5120628389751263
CA,M5,2068-01-01T00:00:00,44342.46575342466,0.5121408711770158
CA,M5,2068-02-01T00:00:00,44342.46575342466,0.5121408711770158
CA,M5,2068-03-01T00:00:00,44342.46575342466,0.5121408711770158
CA,M5,2068-04-01T00:00:00,44342.46575342466,0.5121408711770158
CA,M5,2068-05-01T00:00:00,44342.46575342466,0.5121408711770158
CA,M5,2068-06-01T00:00:00,44342.46575342466,0.5121408711770158
CA,M5,2068-07-01T00:00:00,44342.46575342466,0.5121408711770158
CA,M5,2068-08-01T00:00:00,44342.46575342466,0.5121408711770158
CA,M5,2068-09-01T00:00:00,44342.46575342466,0.5121408711770158
CA,M5,2068-10-01T00:00:00,44342.46575342466,0.5121408711770158
