timepoint,province,sex,age,prob_death,se
1996-01-01 00:00:00,CA,F,108,0.47692,0.24085
1996-01-01 00:00:00,CA,M,109,0.49816,0.84922
1996-01-01 00:00:00,CA,F,109,0.49348,0.22946
1996-01-01 00:00:00,CA,M,110,1.0,0.0
1996-01-01 00:00:00,CA,F,110,1.0,0.0
1996-01-01 00:00:00,BC,M,0,0.00554,0.00094
1996-01-01 00:00:00,BC,F,0,0.00458,0.00089
1996-01-01 00:00:00,BC,M,1,0.00045,0.00026
1996-01-01 00:00:00,BC,F,1,0.00022,0.00019
1996-01-01 00:00:00,BC,M,2,0.0003,0.00022
1996-01-01 00:00:00,BC,F,2,0.00021,0.00019
1996-01-01 00:00:00,BC,M,3,0.00022,0.00018
1996-01-01 00:00:00,BC,F,3,0.0002,0.00018
1996-01-01 00:00:00,BC,M,4,0.00016,0.00016
1996-01-01 00:00:00,BC,F,4,0.00018,0.00017
1996-01-01 00:00:00,BC,M,5,0.00013,0.00014
1996-01-01 00:00:00,BC,F,5,0.00017,0.00016
1996-01-01 00:00:00,BC,M,6,0.00011,0.00013
1996-01-01 00:00:00,BC,F,6,0.00016,0.00016
1996-01-01 00:00:00,BC,M,7,0.0001,0.00012
1996-01-01 00:00:00,BC,F,7,0.00015,0.00015
1996-01-01 00:00:00,BC,M,8,0.0001,0.00012
1996-01-01 00:00:00,BC,F,8,0.00014,0.00015
1996-01-01 00:00:00,BC,M,9,0.0001,0.00012
1996-01-01 00:00:00,BC,F,9,0.00013,0.00014
1996-01-01 00:00:00,BC,M,10,0.00011,0.00013
1996-01-01 00:00:00,BC,F,10,0.00013,0.00014
1996-01-01 00:00:00,BC,M,11,0.00013,0.00014
1996-01-01 00:00:00,BC,F,11,0.00013,0.00014
1996-01-01 00:00:00,BC,M,12,0.00015,0.00015
1996-01-01 00:00:00,BC,F,12,0.00014,0.00015
1996-01-01 00:00:00,BC,M,13,0.00019,0.00017
1996-01-01 00:00:00,BC,F,13,0.00017,0.00016
1996-01-01 00:00:00,BC,M,14,0.00025,0.00019
1996-01-01 00:00:00,BC,F,14,0.00021,0.00018
1996-01-01 00:00:00,BC,M,15,0.00034,0.00022
1996-01-01 00:00:00,BC,F,15,0.00028,0.00021
1996-01-01 00:00:00,BC,M,16,0.00046,0.00026
1996-01-01 00:00:00,BC,F,16,0.00037,0.00024
1996-01-01 00:00:00,BC,M,17,0.00061,0.0003
1996-01-01 00:00:00,BC,F,17,0.00042,0.00026
1996-01-01 00:00:00,BC,M,18,0.00078,0.00034
1996-01-01 00:00:00,BC,F,18,0.00043,0.00026
1996-01-01 00:00:00,BC,M,19,0.00095,0.00037
1996-01-01 00:00:00,BC,F,19,0.00041,0.00025
1996-01-01 00:00:00,BC,M,20,0.0011,0.00041
1996-01-01 00:00:00,BC,F,20,0.00039,0.00025
1996-01-01 00:00:00,BC,M,21,0.00122,0.00042
1996-01-01 00:00:00,BC,F,21,0.00038,0.00024
1996-01-01 00:00:00,BC,M,22,0.00129,0.00044
1996-01-01 00:00:00,BC,F,22,0.00037,0.00024
1996-01-01 00:00:00,BC,M,23,0.00129,0.00043
1996-01-01 00:00:00,BC,F,23,0.00037,0.00023
1996-01-01 00:00:00,BC,M,24,0.00124,0.00041
1996-01-01 00:00:00,BC,F,24,0.00037,0.00023
1996-01-01 00:00:00,BC,M,25,0.00118,0.00039
1996-01-01 00:00:00,BC,F,25,0.00037,0.00022
1996-01-01 00:00:00,BC,M,26,0.00116,0.00038
1996-01-01 00:00:00,BC,F,26,0.00038,0.00022
1996-01-01 00:00:00,BC,M,27,0.00117,0.00039
1996-01-01 00:00:00,BC,F,27,0.0004,0.00023
1996-01-01 00:00:00,BC,M,28,0.00123,0.0004
1996-01-01 00:00:00,BC,F,28,0.00043,0.00024
1996-01-01 00:00:00,BC,M,29,0.00133,0.00041
1996-01-01 00:00:00,BC,F,29,0.00046,0.00025
