timepoint,age,sex,province,prob
2004-01-01 00:00:00,105,F,CA,0.9695180469466416
2004-01-01 00:00:00,105,M,CA,0.9446323959401024
2004-01-01 00:00:00,106,F,CA,0.9695180469466416
2004-01-01 00:00:00,106,M,CA,0.9446323959401024
2004-01-01 00:00:00,107,F,CA,0.9695180469466416
2004-01-01 00:00:00,107,M,CA,0.9446323959401024
2004-01-01 00:00:00,108,F,CA,0.9695180469466416
2004-01-01 00:00:00,108,M,CA,0.9446323959401024
2004-01-01 00:00:00,109,F,CA,0.9695180469466416
2004-01-01 00:00:00,109,M,CA,0.9446323959401024
2004-01-01 00:00:00,110,F,CA,0.9695180469466416
2004-01-01 00:00:00,110,M,CA,0.9446323959401024
2005-01-01 00:00:00,4,F,CA,0.6793810108466296
2005-01-01 00:00:00,4,M,CA,0.7306376126074878
2005-01-01 00:00:00,5,F,CA,0.8626212502906504
2005-01-01 00:00:00,5,M,CA,0.9115663636665412
2005-01-01 00:00:00,6,F,CA,0.9470136195805956
2005-01-01 00:00:00,6,M,CA,0.9807996805519048
2005-01-01 00:00:00,7,F,CA,0.9853086341114236
2005-01-01 00:00:00,7,M,CA,1.0
2005-01-01 00:00:00,8,F,CA,1.0
2005-01-01 00:00:00,8,M,CA,1.0
2005-01-01 00:00:00,9,F,CA,1.0
2005-01-01 00:00:00,9,M,CA,1.0
2005-01-01 00:00:00,10,F,CA,1.0
2005-01-01 00:00:00,10,M,CA,0.9977069268244224
2005-01-01 00:00:00,11,F,CA,1.0
2005-01-01 00:00:00,11,M,CA,0.9909805186240124
2005-01-01 00:00:00,12,F,CA,0.9970524728767244
2005-01-01 00:00:00,12,M,CA,0.9850045767942008
2005-01-01 00:00:00,13,F,CA,0.9922504605265732
2005-01-01 00:00:00,13,M,CA,0.9801854529349
2005-01-01 00:00:00,14,F,CA,0.9876281897732904
2005-01-01 00:00:00,14,M,CA,0.9766192951920672
2005-01-01 00:00:00,15,F,CA,0.9834034720910724
2005-01-01 00:00:00,15,M,CA,0.9742473464527458
2005-01-01 00:00:00,16,F,CA,0.9796701570831884
2005-01-01 00:00:00,16,M,CA,0.9729347321775924
2005-01-01 00:00:00,17,F,CA,0.976452029027386
2005-01-01 00:00:00,17,M,CA,0.9725118573425048
2005-01-01 00:00:00,18,F,CA,0.9737346270080952
2005-01-01 00:00:00,18,M,CA,0.9727970255720038
2005-01-01 00:00:00,19,F,CA,0.9714846374100318
2005-01-01 00:00:00,19,M,CA,0.973609445366327
2005-01-01 00:00:00,20,F,CA,0.9696619699412146
2005-01-01 00:00:00,20,M,CA,0.9747772476626122
2005-01-01 00:00:00,21,F,CA,0.9682272661380276
2005-01-01 00:00:00,21,M,CA,0.9761428631542768
2005-01-01 00:00:00,22,F,CA,0.9671463354828824
2005-01-01 00:00:00,22,M,CA,0.9775669175539357
2005-01-01 00:00:00,23,F,CA,0.9663923519221522
2005-01-01 00:00:00,23,M,CA,0.9789311559406768
2005-01-01 00:00:00,24,F,CA,0.965946311592628
2005-01-01 00:00:00,24,M,CA,0.9801405491566816
2005-01-01 00:00:00,25,F,CA,0.9657961105481012
2005-01-01 00:00:00,25,M,CA,0.9811245456966076
2005-01-01 00:00:00,26,F,CA,0.9659345661655608
2005-01-01 00:00:00,26,M,CA,0.98183735407223
2005-01-01 00:00:00,27,F,CA,0.9663567226143276
2005-01-01 00:00:00,27,M,CA,0.9822571431256756
2005-01-01 00:00:00,28,F,CA,0.9670568096850124
2005-01-01 00:00:00,28,M,CA,0.982384110575229
2005-01-01 00:00:00,29,F,CA,0.9680252371896853
2005-01-01 00:00:00,29,M,CA,0.9822374731636916
2005-01-01 00:00:00,30,F,CA,0.9692459868192752
2005-01-01 00:00:00,30,M,CA,0.981851552497919
2005-01-01 00:00:00,31,F,CA,0.970694703812356
2005-01-01 00:00:00,31,M,CA,0.9812712445288652
2005-01-01 00:00:00,32,F,CA,0.9723376966946582
2005-01-01 00:00:00,32,M,CA,0.9805472445329004
2005-01-01 00:00:00,33,F,CA,0.974131937641912
2005-01-01 00:00:00,33,M,CA,0.9797314359331458
2005-01-01 00:00:00,34,F,CA,0.976026036232148
2005-01-01 00:00:00,34,M,CA,0.9788728320563648
2005-01-01 00:00:00,35,F,CA,0.9779620532827232
2005-01-01 00:00:00,35,M,CA,0.9780143875757388
2005-01-01 00:00:00,36,F,CA,0.9798779433048076
2005-01-01 00:00:00,36,M,CA,0.9771908836672668
2005-01-01 00:00:00,37,F,CA,0.9817103719042458
2005-01-01 00:00:00,37,M,CA,0.9764279575219744
2005-01-01 00:00:00,38,F,CA,0.9833976493290556
2005-01-01 00:00:00,38,M,CA,0.9757422149652843
2005-01-01 00:00:00,39,F,CA,0.9848825483502884
2005-01-01 00:00:00,39,M,CA,0.9751422544292432
2005-01-01 00:00:00,40,F,CA,0.9861148247277564
2005-01-01 00:00:00,40,M,CA,0.974630355343417
2005-01-01 00:00:00,41,F,CA,0.9870533209825978
2005-01-01 00:00:00,41,M,CA,0.974204550263621
2005-01-01 00:00:00,42,F,CA,0.987667599001437
2005-01-01 00:00:00,42,M,CA,0.9738608061115136
2005-01-01 00:00:00,43,F,CA,0.9879391062386728
2005-01-01 00:00:00,43,M,CA,0.973595078076314
2005-01-01 00:00:00,44,F,CA,0.9878619290089492
2005-01-01 00:00:00,44,M,CA,0.9734050589056804
2005-01-01 00:00:00,45,F,CA,0.987443222547746
2005-01-01 00:00:00,45,M,CA,0.9732915146244184
2005-01-01 00:00:00,46,F,CA,0.9867034315108604
2005-01-01 00:00:00,46,M,CA,0.9732591647830348
2005-01-01 00:00:00,47,F,CA,0.9856764282367748
2005-01-01 00:00:00,47,M,CA,0.973317123619158
2005-01-01 00:00:00,48,F,CA,0.9844097018202036
2005-01-01 00:00:00,48,M,CA,0.9734789637982624
2005-01-01 00:00:00,49,F,CA,0.982964730916984
2005-01-01 00:00:00,49,M,CA,0.9737624955156396
2005-01-01 00:00:00,50,F,CA,0.9814176681851444
2005-01-01 00:00:00,50,M,CA,0.9741893718063928
2005-01-01 00:00:00,51,F,CA,0.9798604535575482
2005-01-01 00:00:00,51,M,CA,0.9747846383604156
2005-01-01 00:00:00,52,F,CA,0.9784024540013724
2005-01-01 00:00:00,52,M,CA,0.9755763457539748
2005-01-01 00:00:00,53,F,CA,0.9771726931587288
2005-01-01 00:00:00,53,M,CA,0.9765953360533888
2005-01-01 00:00:00,54,F,CA,0.9763226764959544
2005-01-01 00:00:00,54,M,CA,0.9778753052627632
2005-01-01 00:00:00,55,F,CA,0.976029725122193
2005-01-01 00:00:00,55,M,CA,0.9794532273398984
2005-01-01 00:00:00,56,F,CA,0.9765005923903648
2005-01-01 00:00:00,56,M,CA,0.9813702015365988
2005-01-01 00:00:00,57,F,CA,0.9779749430653458
2005-01-01 00:00:00,57,M,CA,0.9836727471827914
2005-01-01 00:00:00,58,F,CA,0.9807280267717094
2005-01-01 00:00:00,58,M,CA,0.9864145108040168
2005-01-01 00:00:00,59,F,CA,0.9850715983870232
2005-01-01 00:00:00,59,M,CA,0.9896582598733316
2005-01-01 00:00:00,60,F,CA,0.9913518864169752
2005-01-01 00:00:00,60,M,CA,0.9934779057203296
2005-01-01 00:00:00,61,F,CA,0.9999432944782978
2005-01-01 00:00:00,61,M,CA,0.9979601189404788
2005-01-01 00:00:00,62,F,CA,1.0
2005-01-01 00:00:00,62,M,CA,1.0
2005-01-01 00:00:00,63,F,CA,0.9720229506713248
2005-01-01 00:00:00,63,M,CA,0.9482441903583682
2005-01-01 00:00:00,64,F,CA,0.9720229506713248
2005-01-01 00:00:00,64,M,CA,0.9482441903583682
2005-01-01 00:00:00,65,F,CA,0.9720229506713248
2005-01-01 00:00:00,65,M,CA,0.9482441903583682
2005-01-01 00:00:00,66,F,CA,0.9720229506713248
2005-01-01 00:00:00,66,M,CA,0.9482441903583682
2005-01-01 00:00:00,67,F,CA,0.9720229506713248
2005-01-01 00:00:00,67,M,CA,0.9482441903583682
2005-01-01 00:00:00,68,F,CA,0.9720229506713248
2005-01-01 00:00:00,68,M,CA,0.9482441903583682
2005-01-01 00:00:00,69,F,CA,0.9720229506713248
2005-01-01 00:00:00,69,M,CA,0.9482441903583682
2005-01-01 00:00:00,70,F,CA,0.9720229506713248
2005-01-01 00:00:00,70,M,CA,0.9482441903583682
2005-01-01 00:00:00,71,F,CA,0.9720229506713248
2005-01-01 00:00:00,71,M,CA,0.9482441903583682
2005-01-01 00:00:00,72,F,CA,0.9720229506713248
2005-01-01 00:00:00,72,M,CA,0.9482441903583682
2005-01-01 00:00:00,73,F,CA,0.9720229506713248
2005-01-01 00:00:00,73,M,CA,0.9482441903583682
2005-01-01 00:00:00,74,F,CA,0.9720229506713248
2005-01-01 00:00:00,74,M,CA,0.9482441903583682
2005-01-01 00:00:00,75,F,CA,0.9720229506713248
2005-01-01 00:00:00,75,M,CA,0.9482441903583682
2005-01-01 00:00:00,76,F,CA,0.9720229506713248
2005-01-01 00:00:00,76,M,CA,0.9482441903583682
2005-01-01 00:00:00,77,F,CA,0.9720229506713248
